pair_idx,heuristic_id_1,heuristic_id_2,raw_app_type,task_name,d_codebleu,d_ngram,d_weighted_ngram,d_syntax,d_dataflow,cb_d_perf
0,pop_19_op_e2_n12_251225_015005,pop_14_op_m2_n6_251224_174931,bin_greedy,BinPacking,0.6782191359500019,0.9049594124039079,0.8864885599675285,0.6,0.3214285714285714,1.5084
1,pop_19_op_e2_n12_251225_015005,pop_14_op_m2_n12_251224_174931,bin_greedy,BinPacking,0.6920128887003415,0.9068423367700931,0.8858630511957445,0.6349206349206349,0.34042553191489366,1.5082
2,pop_19_op_e2_n12_251225_015005,pop_16_op_m2_n15_251224_182728,bin_greedy,BinPacking,0.7025969108478402,0.9012640677788708,0.8901010412256009,0.6268656716417911,0.3921568627450981,1.50427
3,pop_19_op_e2_n12_251225_015005,pop_19_op_e2_n18_251225_015005,bin_greedy,BinPacking,0.5594949612596558,0.6608345652309404,0.6503776030400059,0.4545454545454546,0.4722222222222222,1.47922
4,pop_19_op_e2_n12_251225_015005,pop_12_op_e1_n16_251224_170428,bin_greedy,BinPacking,0.715089330668471,0.8994177371853047,0.8848290762794786,0.6338028169014085,0.4423076923076923,1.47389
5,pop_19_op_e2_n12_251225_015005,pop_4_op_e1_n18_251224_202609,bin_greedy,BinPacking,0.60872327546956,0.8048431834273483,0.7983684717459709,0.3950617283950617,0.43661971830985913,0.0
6,pop_19_op_e2_n12_251225_015005,pop_17_op_e1_n11_251224_183126,bin_greedy,BinPacking,0.6966680310577225,0.9213964188378541,0.897055366409985,0.5932203389830508,0.375,1.4754999999999998
7,pop_19_op_e2_n12_251225_015005,pop_3_op_e2_n4_251224_201332,bin_greedy,BinPacking,0.49187261213780953,0.6499298664517801,0.5573404563132943,0.45833333333333337,0.30188679245283023,1.46282
8,pop_19_op_e2_n12_251225_015005,pop_12_op_m2_n7_251225_055507,bin_greedy,BinPacking,0.717098387141337,0.8777509341358533,0.872526672400509,0.6833333333333333,0.4347826086956522,1.50779
9,pop_19_op_e2_n12_251225_015005,pop_4_op_e2_n11_251224_203033,bin_greedy,BinPacking,0.5671194160990852,0.7833566838557857,0.7127005369532844,0.360655737704918,0.4117647058823529,0.0
10,pop_19_op_e2_n12_251225_015005,pop_3_op_e2_n16_251224_142734,bin_greedy,BinPacking,0.7241712310252406,0.9294107525789483,0.8233347775826203,0.6666666666666667,0.4772727272727273,1.46755
11,pop_19_op_e2_n12_251225_015005,pop_1_op_m2_n9_251225_023701,bin_greedy,BinPacking,0.6490305202619314,0.9301274875073535,0.8307673208130996,0.5227272727272727,0.3125,1.4754999999999998
12,pop_19_op_e2_n12_251225_015005,pop_0_op_i1_n11_251224_134318,bin_greedy,BinPacking,0.6942374598141559,0.8834527607500577,0.7937903336385304,0.6451612903225806,0.4545454545454546,0.0
13,pop_19_op_e2_n12_251225_015005,pop_6_op_m2_n0_251225_035854,bin_greedy,BinPacking,0.7197002209444551,0.8563503464748108,0.8456389431001108,0.6333333333333333,0.5434782608695652,1.4972299999999998
14,pop_19_op_e2_n12_251225_015005,pop_3_op_m2_n4_251224_202201,bin_greedy,BinPacking,0.4613484369817543,0.5915116914603222,0.5846061269167929,0.3835616438356164,0.2857142857142857,1.50166
15,pop_19_op_e2_n12_251225_015005,pop_15_op_e2_n2_251224_175832,bin_greedy,BinPacking,0.7127232677935724,0.9059592270238058,0.8880484597517229,0.6417910447761195,0.41509433962264153,1.50769
16,pop_19_op_e2_n12_251225_015005,pop_8_op_e2_n16_251224_214932,bin_greedy,BinPacking,0.43886735469068117,0.5793034293651054,0.5216421798738099,0.3866666666666667,0.2678571428571429,1.4971299999999998
17,pop_19_op_e2_n12_251225_015005,pop_2_op_e1_n17_251224_195501,bin_greedy,BinPacking,0.6588829709101318,0.8667140319790537,0.7841754646496264,0.5660377358490566,0.41860465116279066,0.0
18,pop_19_op_e2_n12_251225_015005,pop_4_op_e1_n4_251224_202609,bin_greedy,BinPacking,0.5037882047235708,0.6418521626254353,0.5569854509414338,0.38235294117647056,0.4339622641509434,0.0
19,pop_19_op_e2_n12_251225_015005,pop_15_op_m2_n19_251224_181033,bin_greedy,BinPacking,0.7012274044421571,0.901733135353011,0.8824483399760745,0.6056338028169015,0.41509433962264153,1.50457
20,pop_19_op_e2_n12_251225_015005,pop_13_op_e2_n6_251224_172502,bin_greedy,BinPacking,0.6592401918211328,0.9086879570301226,0.880248494144986,0.5714285714285714,0.276595744680851,1.5084
21,pop_19_op_e2_n12_251225_015005,pop_12_op_m2_n12_251224_171641,bin_greedy,BinPacking,0.674785880825518,0.9086879570301226,0.8834042842206676,0.6153846153846154,0.29166666666666663,1.49834
22,pop_19_op_e2_n12_251225_015005,pop_9_op_e2_n12_251225_044740,bin_greedy,BinPacking,0.7034786804298572,0.8661697836151421,0.8533571830022458,0.625,0.4693877551020408,0.0
23,pop_19_op_e2_n12_251225_015005,pop_4_op_e2_n7_251224_203033,bin_greedy,BinPacking,0.5773484066973644,0.7312041539637908,0.6203140149502093,0.5769230769230769,0.38095238095238093,0.0
24,pop_19_op_e2_n12_251225_015005,pop_5_op_m2_n11_251224_205730,bin_greedy,BinPacking,0.6602944007935408,0.8720933154045836,0.8002733715902424,0.5740740740740741,0.39473684210526316,0.0
25,pop_19_op_e2_n12_251225_015005,pop_1_op_e2_n15_251224_194452,bin_greedy,BinPacking,0.7153619021925425,0.8909893562928526,0.8246249191439841,0.6458333333333333,0.5,0.0
26,pop_19_op_e2_n12_251225_015005,pop_4_op_e1_n8_251224_202609,bin_greedy,BinPacking,0.5403658156556601,0.6938990364117259,0.6570520968308607,0.41428571428571426,0.39622641509433965,0.0
27,pop_19_op_e2_n12_251225_015005,pop_0_op_i1_n6_251225_020644,bin_greedy,BinPacking,0.6994097479235193,0.8977645010492467,0.7844898752602154,0.6153846153846154,0.5,1.4646299999999999
28,pop_19_op_e2_n12_251225_015005,pop_2_op_m1_n1_251224_200232,bin_greedy,BinPacking,0.6609640331891649,0.877173688095684,0.8146218895726661,0.5862068965517242,0.36585365853658536,0.5655499999999999
29,pop_19_op_e2_n12_251225_015005,pop_19_op_m2_n2_251224_191815,bin_greedy,BinPacking,0.6920959914385709,0.9003454950829938,0.8894288450028409,0.6060606060606061,0.37254901960784315,1.5087
