heuristic_id,raw_app_type,objective,repeat_idx,prediction_raw,prediction_clamped,confidence,parse_ok,parse_error
pop_3_op_e1_n4_251226_003906,cvrp_lns,3760716.5,0,3500000.0,3500000.0,0.7,True,
pop_3_op_e1_n4_251226_003906,cvrp_lns,3760716.5,1,3716908.2,3716908.2,0.8,True,
pop_3_op_e1_n4_251226_003906,cvrp_lns,3760716.5,2,3500000.0,3500000.0,0.8,True,
pop_3_op_e1_n4_251226_003906,cvrp_lns,3760716.5,3,3400000.0,3400000.0,0.85,True,
pop_3_op_e1_n4_251226_003906,cvrp_lns,3760716.5,4,3600000.0,3600000.0,0.75,True,
pop_3_op_e1_n4_251226_003906,cvrp_lns,3760716.5,5,3600000.0,3600000.0,0.85,True,
pop_3_op_e1_n4_251226_003906,cvrp_lns,3760716.5,6,3904889.3,3904889.3,0.85,True,
pop_3_op_e1_n4_251226_003906,cvrp_lns,3760716.5,7,3911264.4,3911264.4,0.85,True,
pop_3_op_e1_n4_251226_003906,cvrp_lns,3760716.5,8,3500000.0,3500000.0,0.7,True,
pop_3_op_e1_n4_251226_003906,cvrp_lns,3760716.5,9,3700000.0,3700000.0,0.85,True,
pop_9_op_m2_n1_250821_192903,premarshalling_astar,8.79957,0,2.5,2.5,0.6,True,
pop_9_op_m2_n1_250821_192903,premarshalling_astar,8.79957,1,0.5,0.5,0.75,True,
pop_9_op_m2_n1_250821_192903,premarshalling_astar,8.79957,2,1.5,1.5,0.8,True,
pop_9_op_m2_n1_250821_192903,premarshalling_astar,8.79957,3,0.25,0.25,0.7,True,
pop_9_op_m2_n1_250821_192903,premarshalling_astar,8.79957,4,0.5,0.5,0.7,True,
pop_9_op_m2_n1_250821_192903,premarshalling_astar,8.79957,5,1.5,1.5,0.75,True,
pop_9_op_m2_n1_250821_192903,premarshalling_astar,8.79957,6,0.3,0.3,0.75,True,
pop_9_op_m2_n1_250821_192903,premarshalling_astar,8.79957,7,1.5,1.5,0.7,True,
pop_9_op_m2_n1_250821_192903,premarshalling_astar,8.79957,8,0.5,0.5,0.75,True,
pop_9_op_m2_n1_250821_192903,premarshalling_astar,8.79957,9,8.8,8.8,0.75,True,
pop_9_op_m2_n1_251008_132009,puzzle_astar,2.5337,0,1.2,1.2,0.85,True,
pop_9_op_m2_n1_251008_132009,puzzle_astar,2.5337,1,1.2,1.2,0.9,True,
pop_9_op_m2_n1_251008_132009,puzzle_astar,2.5337,2,1.7,1.7,0.9,True,
pop_9_op_m2_n1_251008_132009,puzzle_astar,2.5337,3,1.7,1.7,0.85,True,
pop_9_op_m2_n1_251008_132009,puzzle_astar,2.5337,4,1.7422,1.7422,0.8,True,
pop_9_op_m2_n1_251008_132009,puzzle_astar,2.5337,5,1.7,1.7,0.8,True,
pop_9_op_m2_n1_251008_132009,puzzle_astar,2.5337,6,1.988,1.988,0.8,True,
pop_9_op_m2_n1_251008_132009,puzzle_astar,2.5337,7,1.2,1.2,0.85,True,
pop_9_op_m2_n1_251008_132009,puzzle_astar,2.5337,8,1.2959,1.2959,0.75,True,
pop_9_op_m2_n1_251008_132009,puzzle_astar,2.5337,9,1.26,1.26,0.8,True,
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,0,0.02,0.02,0.85,True,
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,1,0.027,0.027,0.7,True,
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,2,0.02189,0.02189,0.85,True,
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,3,0.02,0.02,0.85,True,
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,4,0.02,0.02,0.75,True,
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,5,0.02,0.02,0.75,True,
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,6,0.97185,0.97185,0.75,True,
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,7,0.02,0.02,0.8,True,
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,8,0.029,0.029,0.8,True,
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,9,0.02,0.02,0.85,True,
