heuristic_id,raw_app_type,objective,prediction,confidence,parse_ok,parse_error
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,0.02,0.8,True,
pop_9_op_m1_n1_251224_221631,bin_greedy,0.00986,0.02,0.85,True,
pop_9_op_m1_n2_251224_221631,bin_greedy,0.02837,0.025,0.8,True,
pop_9_op_m1_n3_251224_221631,bin_greedy,0.04256,0.414935,0.65,True,
pop_9_op_m1_n4_251224_221631,bin_greedy,0.03441,0.28975,0.7,True,
pop_9_op_m1_n5_251224_221631,bin_greedy,1.46956,0.02,0.85,True,
pop_9_op_m1_n6_251224_221631,bin_greedy,0.04447,0.02,0.8,True,
pop_9_op_m1_n7_251224_221631,bin_greedy,0.04025,0.1,0.7,True,
pop_9_op_m1_n8_251224_221631,bin_greedy,0.01147,0.031926,0.85,True,
pop_9_op_m1_n9_251224_221631,bin_greedy,1.51404,0.02,0.85,True,
pop_9_op_m2_n0_251224_222110,bin_greedy,0.098,0.02804,0.85,True,
pop_9_op_m2_n10_251224_222110,bin_greedy,0.04266,0.414935,0.85,True,
pop_9_op_m2_n11_251224_222110,bin_greedy,0.03682,0.03773,0.95,True,
pop_9_op_m2_n12_251224_222110,bin_greedy,0.07144,0.2,0.75,True,
pop_9_op_m2_n13_251224_222110,bin_greedy,0.02525,0.025,0.85,True,
pop_9_op_m1_n19_251224_221631,bin_greedy,0.03984,0.02,0.85,True,
pop_9_op_m2_n14_251224_222110,bin_greedy,0.01157,0.29,0.75,True,
pop_9_op_m2_n16_251224_222110,bin_greedy,0.03743,0.17223,0.85,True,
pop_9_op_m2_n17_251224_222110,bin_greedy,0.38173,0.289,0.75,True,
pop_9_op_m2_n18_251224_222110,bin_greedy,0.00966,0.2,0.75,True,
pop_9_op_m2_n19_251224_222110,bin_greedy,0.03773,0.03276,0.85,True,
pop_9_op_m2_n1_251224_222110,bin_greedy,0.02294,0.2,0.85,True,
pop_9_op_m2_n2_251224_222110,bin_greedy,0.03491,0.02875,0.85,True,
pop_9_op_m2_n3_251224_222110,bin_greedy,0.02133,0.2,0.85,True,
pop_9_op_m2_n4_251224_222110,bin_greedy,0.01761,0.2,0.75,True,
