heuristic_id,raw_app_type,objective,prediction,confidence,parse_ok,parse_error
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,0.2,0.7,True,
pop_0_op_e1_n10_251224_134701,bin_greedy,0.3277,0.2789,0.85,True,
pop_0_op_e1_n11_251224_134701,bin_greedy,1.51534,0.2,0.7,True,
pop_0_op_e1_n12_251224_134701,bin_greedy,0.05815,0.2879,0.85,True,
pop_0_op_e1_n13_251224_134701,bin_greedy,0.05755,0.2789,0.85,True,
pop_0_op_e1_n14_251224_134701,bin_greedy,0.03874,0.2,0.7,True,
pop_0_op_e1_n15_251224_134701,bin_greedy,0.60539,0.2876,0.85,True,
pop_0_op_e1_n16_251224_134701,bin_greedy,0.76567,0.28769,0.85,True,
pop_0_op_e1_n17_251224_134701,bin_greedy,0.04628,0.2789,0.85,True,
pop_0_op_e1_n18_251224_134701,bin_greedy,1.51534,0.2789,0.85,True,
pop_0_op_e1_n19_251224_134701,bin_greedy,0.05826,0.2875,0.85,True,
pop_0_op_e1_n1_251224_134701,bin_greedy,0.13211,0.2879,0.85,True,
pop_0_op_e1_n2_251224_134701,bin_greedy,1.51534,0.2789,0.85,True,
pop_0_op_e1_n3_251224_134701,bin_greedy,1.51534,0.2876,0.8,True,
pop_0_op_e1_n4_251224_134701,bin_greedy,0.14056,0.2,0.7,True,
pop_0_op_e1_n5_251224_134701,bin_greedy,0.03139,0.2789,0.85,True,
pop_0_op_e1_n6_251224_134701,bin_greedy,1.5079,0.28762,0.85,True,
pop_0_op_e1_n7_251224_134701,bin_greedy,0.03874,0.2879,0.85,True,
pop_0_op_e1_n8_251224_134701,bin_greedy,0.03984,0.2789,0.85,True,
pop_0_op_e1_n9_251224_134701,bin_greedy,1.51534,0.2789,0.85,True,
pop_0_op_e2_n0_251224_134950,bin_greedy,0.73609,0.25,0.7,True,
pop_0_op_e2_n10_251224_134950,bin_greedy,1.51534,0.2789,0.85,True,
pop_0_op_e2_n11_251224_134950,bin_greedy,0.03984,0.2879,0.85,True,
pop_0_op_e2_n13_251224_134950,bin_greedy,0.04578,0.2879,0.85,True,
pop_0_op_e2_n16_251224_134950,bin_greedy,0.03984,0.2789,0.85,True,
pop_0_op_e2_n17_251224_134950,bin_greedy,0.03984,0.2789,0.8,True,
