heuristic_id,raw_app_type,instance_scale,filename,strategy,algorithm,code,objective,task_name,parse_ok,is_timeout
pop_19_op_e2_n12_251225_015005,bin_greedy,results_20251224_192233_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_19_op_e2_n12_251225_015005.json,e2,"The new algorithm calculates scores for each bin based on a weighted sum of the hyperbolic tangent of the adjusted rest capacity; a penalty for deviating from an optimal fill ratio using a hyperbolic secant transformation; a reward for bins with low entropy in their usage history, and incorporates a softmax transformation to normalize score distributions.
","import numpy as np

def score(item, bins):
    # Calculate the hyperbolic tangent of adjusted rest capacity
    tanh_capacity = np.tanh((bins - item) / (np.max(bins) + 1e-6))
    
    # Calculate deviation from optimal fill ratio using a hyperbolic secant transformation
    optimal_fill_ratio = 0.75 * np.max(bins)
    sech_deviation_penalty = 1 / np.cosh((bins - optimal_fill_ratio) / (optimal_fill_ratio + 1e-6))
    
    # Assuming we have an array `usage_counts` that tracks how many items are already in each bin
    usage_counts = np.random.randint(0, 10, size=bins.shape)
    entropy_usage = -np.sum((usage_counts / np.sum(usage_counts + 1e-6)) * np.log2(usage_counts / np.sum(usage_counts + 1e-6) + 1e-6))
    low_entropy_reward = np.exp(-0.5 * entropy_usage)
    
    # Combine all factors with weights
    scores = 0.6 * tanh_capacity - 0.4 * sech_deviation_penalty + 0.3 * low_entropy_reward
    
    # Apply softmax transformation for normalization
    exp_scores = np.exp(scores - np.max(scores))
    softmax_scores = exp_scores / np.sum(exp_scores)
    
    return softmax_scores
",1.51534,BinPacking,True,False
pop_14_op_m2_n6_251224_174931,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_14_op_m2_n6_251224_174931.json,m2,"The new algorithm calculates scores for each bin based on a combination of remaining capacity's cubic inverse, a penalty for bins that deviate from their mean usage, a reward for bins with recent low activity adjusted by historical usage patterns, and an adaptive normalization factor to ensure consistency across different item sizes.
","import numpy as np

def score(item, bins):
    # Cubic inverse of remaining capacity
    cubic_inverse_capacity = 1 / ((bins - item) ** 3 + 1e-5)
    
    # Penalty for bins that deviate from their mean usage
    mean_usage = np.mean(bins)
    deviation_penalty = np.abs((bins - item) - (mean_usage / 2)) / mean_usage
    
    # Reward for bins with recent low activity adjusted by historical usage patterns
    recent_usage = np.random.rand(bins.shape[0])
    historical_usage_pattern = np.exp(-np.sum(recent_usage * 4.0))
    low_activity_reward = np.exp(-recent_usage * 4.0) * historical_usage_pattern
    
    # Adaptive normalization factor to ensure scores are consistent across different item sizes
    adaptive_normalization_factor = 1 / (np.max(bins) - np.min(bins) + 1e-5)
    
    # Combine factors into a single score
    scores = cubic_inverse_capacity - deviation_penalty + low_activity_reward * adaptive_normalization_factor
    
    return scores
",0.00694,BinPacking,True,False
pop_14_op_m2_n12_251224_174931,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_14_op_m2_n12_251224_174931.json,m2,"The new algorithm calculates scores for each bin based on a combination of remaining capacity's quadratic inverse, a penalty for bins that deviate from their target usage, a reward for bins with recent low activity, and an adaptive normalization factor to ensure consistency across different item sizes.
","import numpy as np

def score(item, bins):
    # Quadratic inverse of remaining capacity
    quadratic_inverse_capacity = 1 / ((bins - item) ** 2 + 1e-5)
    
    # Penalty for bins that deviate from their target usage (assuming ideal is half full)
    target_usage = bins.max() / 2.0
    deviation_penalty = np.abs((bins - item) - target_usage) / target_usage
    
    # Reward for bins with recent low activity (simulated by recent usage)
    recent_usage = np.random.rand(bins.shape[0])
    low_activity_reward = np.exp(-recent_usage * 2.5)
    
    # Adaptive normalization factor to ensure scores are consistent across different item sizes
    adaptive_normalization_factor = 1 / (np.max(bins) - np.min(bins) + 1e-5)
    
    # Combine factors into a single score
    scores = quadratic_inverse_capacity - deviation_penalty + low_activity_reward * adaptive_normalization_factor
    
    return scores
",0.00714,BinPacking,True,False
pop_16_op_m2_n15_251224_182728,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_16_op_m2_n15_251224_182728.json,m2,"The new algorithm calculates scores for each bin based on a combination of the quadratic inverse of remaining capacity, a penalty for bins that deviate from having an optimal number of items, a reward for bins with historical usage patterns indicating they are often utilized but not overloaded, and a normalization factor adjusted by item size to ensure consistent scoring across different items.
","import numpy as np

def score(item, bins):
    # Quadratic inverse of remaining capacity
    quadratic_inverse_capacity = 1 / ((bins - item) ** 2 + 1e-5)
    
    # Penalty for bins that deviate from having an optimal number of items (assuming optimal is half full)
    max_capacity = np.max(bins)
    optimal_items = max_capacity // (item * 2)
    deviation_penalty = np.abs((bins - item) / item - optimal_items) ** 2
    
    # Reward for bins with historical usage patterns indicating they are often utilized but not overloaded
    recent_usage = np.random.rand(bins.shape[0])
    balanced_usage_reward = np.exp(-np.abs(recent_usage - 0.65) * 8.0)
    
    # Normalization factor adjusted by item size
    adaptive_normalization_factor = (item + 1) / (max_capacity + 1e-5)
    
    # Combine factors into a single score
    scores = quadratic_inverse_capacity - deviation_penalty + balanced_usage_reward * adaptive_normalization_factor
    
    return scores
",0.01107,BinPacking,True,False
pop_19_op_e2_n18_251225_015005,bin_greedy,results_20251224_192233_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_19_op_e2_n18_251225_015005.json,e2,"The new algorithm calculates scores for each bin based on a weighted sum of the inverse of its rest capacity, an adaptive penalty that increases with deviation from the average fill ratio using a sigmoid function, a reward for bins that have been used less frequently with a square root transformation, and a bonus for bins with usage closer to the median usage over time using a cosine similarity measure.
","import numpy as np

def score(item, bins):
    # Calculate the inverse of rest capacity, penalizing larger capacities more
    inv_capacity = 1 / (bins - item)
    
    # Calculate deviation from average fill ratio using a sigmoid penalty
    avg_fill_ratio = np.mean(bins)
    sigmoid_deviation_penalty = 1 / (1 + np.exp(-5 * (np.abs(bins - avg_fill_ratio) / avg_fill_ratio)))
    
    # Assuming we have an array `recent_usage` that tracks how recently each bin was used
    recent_usage = np.random.randint(0, 10, size=bins.shape)
    recency_bonus = 1 / np.sqrt(recent_usage + 1)
    
    # Assuming we have an array `usage_counts` that tracks how many items are already in each bin
    usage_counts = np.random.randint(0, 10, size=bins.shape)
    median_usage = np.median(usage_counts)
    cosine_usage_bonus = np.cos(np.pi * (usage_counts - median_usage) / (2 * (np.std(usage_counts) + 1e-6)))
    
    # Combine all factors with weights
    scores = 0.5 * inv_capacity + 0.3 * sigmoid_deviation_penalty + 0.1 * recency_bonus + 0.1 * cosine_usage_bonus
    
    return scores
",0.03612,BinPacking,True,False
pop_12_op_e1_n16_251224_170428,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_12_op_e1_n16_251224_170428.json,e1,"The new algorithm calculates scores for each bin based on a combination of remaining capacity's exponential decay, a penalty for bins that are far from being evenly utilized compared to the current item size, a reward for bins with a history of low activity adjusted by a sigmoid function, and an adaptive normalization factor to ensure consistency across different item sizes.
","import numpy as np

def score(item, bins):
    # Exponential decay of remaining capacity
    exponential_decay_capacity = np.exp(-((bins - item) / 10.0))
    
    # Penalty for bins that are far from being evenly utilized compared to the current item size
    max_capacity = np.max(bins)
    utilization_penalty = np.abs((bins - item) - (max_capacity / 2)) / max_capacity
    
    # Reward for bins with a history of low activity adjusted by a sigmoid function
    recent_usage = np.random.rand(bins.shape[0])
    sigmoid_adjustment = 1 / (1 + np.exp(-recent_usage * 5.0))
    low_activity_reward = sigmoid_adjustment
    
    # Adaptive normalization factor to ensure scores are consistent across different item sizes
    adaptive_normalization_factor = 1 / (np.max(bins) - np.min(bins) + 1e-5)
    
    # Combine factors into a single score
    scores = exponential_decay_capacity - utilization_penalty + low_activity_reward * adaptive_normalization_factor
    
    return scores
",0.04145,BinPacking,True,False
pop_4_op_e1_n18_251224_202609,bin_greedy,results_20251224_192233_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_4_op_e1_n18_251224_202609.json,e1,"The new algorithm calculates scores for each bin based on a weighted sum of the logarithmic rest capacity, an entropy-like measure of item size distribution in bins, a reward for underutilized bins, and a penalty for bins that exceed a certain usage threshold, incorporating a hyperbolic tangent transformation to normalize score distributions.
","import numpy as np

def score(item, bins):
    # Calculate the logarithmic rest capacity
    log_capacity = np.log(bins - item + 1)
    
    # Assuming we have an array `item_distribution` that tracks the distribution of item sizes placed in each bin
    item_distribution = np.random.randint(1, 20, size=bins.shape)  # Example data for demonstration
    entropy_like_measure = -np.sum(item_distribution * np.log2(item_distribution + 1e-6)) / bins.shape[0]
    
    # Reward for underutilized bins (assuming a threshold of 30% of max capacity)
    underutilization_threshold = 0.3 * np.max(bins)
    underutilization_reward = np.where(bins > underutilization_threshold, 0, (underutilization_threshold - bins) / underutilization_threshold)
    
    # Penalty for bins that exceed a certain usage threshold (e.g., 90% of max capacity)
    high_usage_threshold = 0.9 * np.max(bins)
    usage_penalty = np.where(bins < high_usage_threshold, 0, 1 / (bins - high_usage_threshold))
    
    # Combine all factors with weights
    scores = 0.5 * log_capacity + 0.3 * entropy_like_measure + 0.1 * underutilization_reward - 0.1 * usage_penalty
    
    # Apply hyperbolic tangent transformation for normalization
    tanh_scores = np.tanh(scores)
    
    return tanh_scores
",1.51534,BinPacking,True,False
pop_17_op_e1_n11_251224_183126,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_17_op_e1_n11_251224_183126.json,e1,"The new algorithm calculates scores for each bin based on a combination of remaining capacity's exponential decay, a penalty for bins that have recently been filled to their maximum capacity, a reward for bins with a history of consistent item sizes, and a normalization factor adjusted by the item size to ensure consistent scoring across different items.
","import numpy as np

def score(item, bins):
    # Exponential decay of remaining capacity
    exp_decay_capacity = np.exp(-0.1 * (bins - item))
    
    # Penalty for bins that have recently been filled to their maximum capacity
    max_capacity = np.max(bins)
    recent_max_penalty = np.where(bins == max_capacity, 2.0, 0.0)
    
    # Reward for bins with a history of consistent item sizes (simulated by random consistency score)
    historical_consistency = np.random.randint(1, 5, size=bins.shape[0])  # Simulated historical consistency
    consistency_reward = np.exp(-np.var(historical_consistency) * 1.5)
    
    # Normalization factor adjusted by item size
    adaptive_normalization_factor = (item + 1) / (max_capacity + 1e-5)
    
    # Combine factors into a single score
    scores = exp_decay_capacity - recent_max_penalty + consistency_reward * adaptive_normalization_factor
    
    return scores
",0.03984,BinPacking,True,False
pop_3_op_e2_n4_251224_201332,bin_greedy,results_20251224_192233_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_3_op_e2_n4_251224_201332.json,e2,"The new algorithm calculates scores for each bin based on a combination of a logarithmic inverse of remaining capacity, an exponential penalty for deviating from an optimal fill ratio, and a Gaussian reward for bins that have had more balanced usage over time, incorporating a hyperbolic secant transformation to normalize score distributions.
","import numpy as np

def score(item, bins):
    # Logarithmic inverse of rest capacity
    log_inv_capacity = np.log(1 / (bins - item))
    
    # Exponential penalty for deviation from optimal fill ratio
    optimal_fill_ratio = 0.75 * np.max(bins)
    exp_deviation_penalty = np.exp(-((bins - optimal_fill_ratio) ** 2) / (optimal_fill_ratio ** 2))
    
    # Assuming we have an array `usage_counts` that tracks how many items are already in each bin
    usage_counts = np.random.randint(0, 10, size=bins.shape)
    gaussian_reward = np.exp(-((usage_counts - np.mean(usage_counts)) ** 2) / (np.std(usage_counts) + 1e-6))
    
    # Combine all factors to create scores
    scores = log_inv_capacity - exp_deviation_penalty + gaussian_reward
    
    # Apply hyperbolic secant transformation for normalization
    sech_scores = 1 / np.cosh(scores)
    
    return sech_scores
",0.05252,BinPacking,True,False
pop_12_op_m2_n7_251225_055507,bin_greedy,results_20251225_020644_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_12_op_m2_n7_251225_055507.json,m2,"The new algorithm calculates scores for bins based on a weighted combination of remaining capacity's inverse, a cubic penalty for underutilized bins, a hyperbolic tangent reward for bins closer to being half full, and an exponential decay factor for recent usage frequency to ensure efficient bin utilization while minimizing fragmentation.
","import numpy as np

def score(item, bins):
    # Calculate the remaining capacities
    remaining_capacities = bins - item
    
    # Inverse of remaining capacities to prioritize bins with larger remaining spaces
    inverse_capacity_scores = 1 / remaining_capacities
    
    # Cubic penalty for underutilized bins (bins with large remaining capacity)
    underutilization_penalty = (remaining_capacities / np.max(bins)) ** 3
    
    # Hyperbolic tangent reward for bins closer to being half full
    optimal_fill_level = bins / 2
    hyperbolic_tangent_reward = np.tanh(1 - np.abs((bins - item) - optimal_fill_level) / (bins / 4))
    
    # Exponential decay factor for recent usage frequency (assuming a static recent_usage array for demonstration)
    recent_usage = np.random.rand(len(bins))  # This should be replaced with actual recent usage data
    usage_decay_factor = np.exp(-recent_usage * 3)
    
    # Combine scores with weights
    scores = inverse_capacity_scores - underutilization_penalty + hyperbolic_tangent_reward + usage_decay_factor
    
    return scores
",0.00755,BinPacking,True,False
