i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
151,396,pop_10_op_m1_n17_251224_164130,pop_13_op_m2_n12_251224_173322,0.7411765,0.01982
3203,3440,pop_11_op_m1_n14_251225_053143,pop_14_op_m1_n9_251225_062936,0.51304346,0.26673
951,2909,pop_2_op_e1_n16_251224_141021,pop_8_op_m2_n8_251224_220122,0.78294575,0.066
1950,3161,pop_14_op_m2_n1_251225_001033,pop_11_op_e1_n0_251225_052112,0.80689657,0.022030002
1924,2509,pop_14_op_m1_n14_251225_000514,pop_3_op_m1_n16_251224_201815,0.5132743,0.59483
900,3816,pop_1_op_e2_n5_251224_140121,pop_1_op_e1_n12_251225_022428,0.76635516,0.0030099154
382,2087,pop_13_op_m1_n18_251224_172917,pop_16_op_m2_n13_251225_005606,0.7345133,0.004829999
162,3099,pop_10_op_m2_n0_251224_164454,pop_10_op_e1_n19_251225_050159,0.85820895,0.25476
895,3119,pop_1_op_e2_n19_251224_140121,pop_10_op_e2_n6_251225_050712,0.80833334,0.020620001
418,1350,pop_14_op_e1_n14_251224_173716,pop_8_op_e1_n14_251224_160509,0.7894737,0.79616
1704,2340,pop_11_op_m1_n10_251224_230102,pop_1_op_e2_n10_251224_194452,0.67256635,0.036520004
698,4336,pop_17_op_m2_n12_251224_184426,pop_8_op_m1_n12_251225_043317,0.80689657,0.01137
1622,3270,pop_10_op_e2_n17_251224_223125,pop_12_op_e2_n8_251225_054527,0.7777778,0.80813
1759,3383,pop_12_op_e2_n14_251224_231546,pop_13_op_m2_n8_251225_061422,0.8243243,0.9346
999,3189,pop_2_op_m1_n9_251224_141740,pop_11_op_e2_n19_251225_052631,0.7948718,0.002419997
3494,4353,pop_15_op_e2_n4_251225_064411,pop_8_op_m2_n0_251225_043752,0.552,0.55287
1243,2281,pop_6_op_m1_n13_251224_154608,pop_19_op_e2_n8_251225_015005,0.83,0.0119699985
