i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
53,138,pop_0_op_i1_n19_251225_145628,pop_10_op_e2_n17_251227_001656,0.0033115435,91014.25
1122,1205,pop_4_op_e2_n10_251226_042834,pop_5_op_e2_n2_251226_073535,0.012274972,290228.0
333,1019,pop_12_op_m2_n16_251227_083811,pop_2_op_m2_n2_251225_235254,0.0041160653,110565.0
683,1107,pop_17_op_e2_n3_251228_000153,pop_4_op_e1_n13_251226_034419,0.007226586,132368.0
674,879,pop_17_op_e2_n13_251228_000153,pop_1_op_e1_n11_251225_183903,0.0056244615,219260.5
315,1336,pop_12_op_m1_n18_251227_074705,pop_7_op_e1_n2_251226_131453,0.0037396469,45499.0
133,731,pop_10_op_e2_n12_251227_001656,pop_18_op_e1_n13_251228_023855,0.0033694268,352413.0
57,1085,pop_0_op_i1_n3_251225_141156,pop_3_op_m2_n11_251226_025640,0.015642978,165808.75
313,1092,pop_12_op_m1_n16_251227_074705,pop_3_op_m2_n18_251226_025640,0.004238595,35381.75
146,473,pop_10_op_e2_n7_251227_001656,pop_14_op_m1_n2_251227_143951,0.004401357,514361.25
597,819,pop_16_op_e2_n11_251227_203430,pop_19_op_e1_n9_251228_060424,0.0029002612,342898.75
244,1519,pop_11_op_m1_n7_251227_042439,pop_9_op_m1_n10_251226_214405,0.004602887,59968.0
568,1145,pop_15_op_m2_n1_251227_185242,pop_4_op_m1_n15_251226_051356,0.0027577758,191300.75
616,1185,pop_16_op_m1_n11_251227_212615,pop_5_op_e1_n18_251226_064644,0.010420191,447799.25
350,1117,pop_13_op_e1_n14_251227_092959,pop_4_op_e1_n6_251226_034419,0.003136392,193922.75
1223,1524,pop_5_op_m1_n1_251226_082330,pop_9_op_m1_n15_251226_214405,0.007419648,378713.75
435,799,pop_14_op_e1_n1_251227_125901,pop_18_op_m2_n7_251228_051251,0.0011642831,397718.25
199,281,pop_11_op_e1_n1_251227_024432,pop_12_op_e1_n4_251227_060501,0.0018311552,323347.75
853,1307,pop_19_op_m1_n6_251228_074716,pop_6_op_m1_n9_251226_113847,0.0033466183,60042.0
496,701,pop_14_op_m2_n5_251227_152817,pop_17_op_m1_n3_251228_005726,0.002443488,268767.75
706,779,pop_17_op_m1_n8_251228_005726,pop_18_op_m1_n6_251228_041951,0.0009521426,71666.0
577,1129,pop_16_op_e1_n0_251227_194508,pop_4_op_e2_n18_251226_042834,0.0039775576,46167.5
121,284,pop_10_op_e1_n1_251226_232328,pop_12_op_e1_n7_251227_060501,0.010435504,52772.0
792,1442,pop_18_op_m2_n18_251228_051251,pop_8_op_m1_n10_251226_182024,0.0031747608,333887.0
33,1216,pop_0_op_e2_n6_251225_162047,pop_5_op_m1_n12_251226_082330,0.005407908,3214.5
68,1002,pop_0_op_i1_n8_251225_145628,pop_2_op_m1_n5_251225_230458,0.005069753,212141.75
144,626,pop_10_op_e2_n4_251227_001656,pop_16_op_m1_n2_251227_212615,0.004494167,370037.5
251,1281,pop_11_op_m2_n13_251227_051511,pop_6_op_e2_n1_251226_105034,0.007880996,512838.75
544,849,pop_15_op_m1_n16_251227_180037,pop_19_op_m1_n2_251228_074716,0.002816279,33337.0
690,1456,pop_17_op_m1_n0_251228_005726,pop_8_op_m1_n5_251226_182024,0.005271685,109006.75
701,1410,pop_17_op_m1_n3_251228_005726,pop_8_op_e1_n17_251226_163555,0.0072932313,318777.75
160,353,pop_10_op_m1_n2_251227_010748,pop_13_op_e1_n17_251227_092959,0.00216016,122008.0
143,1543,pop_10_op_e2_n3_251227_001656,pop_9_op_m2_n14_251226_223416,0.006091862,405521.25
863,988,pop_19_op_m2_n15_251228_083956,pop_2_op_m1_n0_251225_230458,0.0035933957,161573.25
862,1382,pop_19_op_m2_n14_251228_083956,pop_7_op_m2_n0_251226_154343,0.0036526017,277331.25
99,1233,pop_0_op_m2_n18_251225_175347,pop_5_op_m2_n10_251226_091303,0.0071706804,167698.75
754,1336,pop_18_op_e2_n17_251228_033156,pop_7_op_e1_n2_251226_131453,0.0040130964,89206.5
413,1288,pop_13_op_m2_n18_251227_121005,pop_6_op_e2_n8_251226_105034,0.0030057952,301325.5
430,824,pop_14_op_e1_n15_251227_125901,pop_19_op_e2_n14_251228_065631,0.0062981932,271760.0
983,1128,pop_2_op_e2_n5_251225_221616,pop_4_op_e2_n17_251226_042834,0.008460067,86568.0
257,1062,pop_11_op_m2_n19_251227_051511,pop_3_op_e2_n9_251226_012408,0.0067977835,79437.25
264,1180,pop_11_op_m2_n7_251227_051511,pop_5_op_e1_n13_251226_064644,0.0027458186,378923.5
1090,1460,pop_3_op_m2_n16_251226_025640,pop_8_op_m1_n9_251226_182024,0.006572848,435897.0
443,551,pop_14_op_e1_n9_251227_125901,pop_15_op_m1_n4_251227_180037,0.0023001449,479705.75
105,1276,pop_0_op_m2_n5_251225_175347,pop_6_op_e2_n15_251226_105034,0.008208744,67610.5
485,1511,pop_14_op_m2_n13_251227_152817,pop_9_op_e2_n2_251226_205529,0.0062229573,442559.75
98,693,pop_0_op_m2_n17_251225_175347,pop_17_op_m1_n13_251228_005726,0.0034262813,88902.25
1390,1551,pop_7_op_m2_n17_251226_154343,pop_9_op_m2_n4_251226_223416,0.0015274377,179095.25
916,1055,pop_1_op_m1_n13_251225_200231,pop_3_op_e2_n2_251226_012408,0.006498794,222633.75
334,1211,pop_12_op_m2_n17_251227_083811,pop_5_op_e2_n8_251226_073535,0.0056786737,215937.0
0,1183,pop_0_op_e1_n0_251225_153652,pop_5_op_e1_n16_251226_064644,0.0065777088,92595.5
201,303,pop_11_op_e1_n3_251227_024432,pop_12_op_e2_n7_251227_065610,0.0030230095,294982.75
264,566,pop_11_op_m2_n7_251227_051511,pop_15_op_m2_n18_251227_185242,0.0013948466,139284.0
726,1441,pop_17_op_m2_n9_251228_014656,pop_8_op_m1_n0_251226_182024,0.001777809,281212.5
275,775,pop_12_op_e1_n17_251227_060501,pop_18_op_m1_n2_251228_041951,0.0069662854,403156.0
68,252,pop_0_op_i1_n8_251225_145628,pop_11_op_m2_n14_251227_051511,0.013940102,307111.25
851,1304,pop_19_op_m1_n4_251228_074716,pop_6_op_m1_n6_251226_113847,0.003079564,13572.25
240,1369,pop_11_op_m1_n3_251227_042439,pop_7_op_m1_n16_251226_145231,0.0053078732,27752.0
325,1157,pop_12_op_m1_n9_251227_074705,pop_4_op_m1_n9_251226_051356,0.002323917,234767.0
1012,1063,pop_2_op_m2_n14_251225_235254,pop_3_op_m1_n0_251226_020829,0.0101633165,20737.0
832,1436,pop_19_op_e2_n4_251228_065631,pop_8_op_e2_n5_251226_172614,0.0031685259,24834.0
898,1159,pop_1_op_e2_n10_251225_192420,pop_4_op_m2_n10_251226_055944,0.0107986685,275447.75
484,570,pop_14_op_m2_n12_251227_152817,pop_15_op_m2_n3_251227_185242,0.0024558546,36315.25
1169,1506,pop_4_op_m2_n1_251226_055944,pop_9_op_e2_n16_251226_205529,0.004222803,324861.25
639,1371,pop_16_op_m2_n14_251227_221945,pop_7_op_m1_n18_251226_145231,0.002698524,18991.25
507,1130,pop_15_op_e1_n15_251227_162003,pop_4_op_e2_n19_251226_042834,0.003915399,304168.75
1406,1409,pop_8_op_e1_n13_251226_163555,pop_8_op_e1_n16_251226_163555,0.016964944,315205.75
172,576,pop_10_op_m2_n13_251227_015504,pop_15_op_m2_n9_251227_185242,0.0030915197,24427.75
118,1023,pop_10_op_e1_n17_251226_232328,pop_2_op_m2_n6_251225_235254,0.0058519705,7223.75
731,1556,pop_18_op_e1_n13_251228_023855,pop_9_op_m2_n9_251226_223416,0.0040029828,327047.75
834,1238,pop_19_op_e2_n6_251228_065631,pop_5_op_m2_n15_251226_091303,0.0077355476,166631.75
295,1466,pop_12_op_e2_n17_251227_065610,pop_8_op_m2_n14_251226_191044,0.017396914,111827.5
542,720,pop_15_op_m1_n14_251227_180037,pop_17_op_m2_n3_251228_014656,0.004146779,148637.0
202,1395,pop_11_op_e1_n4_251227_024432,pop_7_op_m2_n3_251226_154343,0.0068312767,193067.0
1068,1461,pop_3_op_m1_n14_251226_020829,pop_8_op_m2_n0_251226_191044,0.007967391,149846.25
740,968,pop_18_op_e1_n4_251228_023855,pop_2_op_e1_n9_251225_213311,0.002802166,48578.0
514,1097,pop_15_op_e1_n4_251227_162003,pop_3_op_m2_n4_251226_025640,0.016383396,253496.5
353,813,pop_13_op_e1_n17_251227_092959,pop_19_op_e1_n3_251228_060424,0.007163037,432670.0
493,878,pop_14_op_m2_n2_251227_152817,pop_1_op_e1_n10_251225_183903,0.0087155225,515772.75
834,1042,pop_19_op_e2_n6_251228_065631,pop_3_op_e1_n7_251226_003906,0.0029507147,26585.5
1464,1498,pop_8_op_m2_n12_251226_191044,pop_9_op_e1_n8_251226_200158,0.0032570614,491576.75
23,680,pop_0_op_e2_n15_251225_162047,pop_17_op_e2_n19_251228_000153,0.015580814,381072.0
250,319,pop_11_op_m2_n12_251227_051511,pop_12_op_m1_n3_251227_074705,0.0014352298,66157.0
777,1296,pop_18_op_m1_n4_251228_041951,pop_6_op_m1_n16_251226_113847,0.0029698382,303856.25
528,980,pop_15_op_e2_n18_251227_171036,pop_2_op_e2_n2_251225_221616,0.0064243567,18119.0
971,1090,pop_2_op_e2_n11_251225_221616,pop_3_op_m2_n16_251226_025640,0.011082684,224356.0
151,561,pop_10_op_m1_n11_251227_010748,pop_15_op_m2_n13_251227_185242,0.010280369,72674.5
486,1025,pop_14_op_m2_n14_251227_152817,pop_2_op_m2_n8_251225_235254,0.005006817,130599.5
165,1195,pop_10_op_m1_n7_251227_010748,pop_5_op_e2_n10_251226_073535,0.0065728603,251298.0
517,1295,pop_15_op_e1_n7_251227_162003,pop_6_op_m1_n15_251226_113847,0.0030217501,463408.25
677,1078,pop_17_op_e2_n16_251228_000153,pop_3_op_m1_n5_251226_020829,0.004696848,64225.0
733,1253,pop_18_op_e1_n15_251228_023855,pop_6_op_e1_n11_251226_100202,0.0030382248,243420.5
1111,1310,pop_4_op_e1_n18_251226_034419,pop_6_op_m2_n11_251226_122703,0.005921147,120333.75
603,990,pop_16_op_e2_n18_251227_203430,pop_2_op_m1_n11_251225_230458,0.0069041746,17395.0
511,1398,pop_15_op_e1_n19_251227_162003,pop_7_op_m2_n6_251226_154343,0.0034604734,154159.75
448,666,pop_14_op_e2_n14_251227_135021,pop_17_op_e1_n6_251227_231256,0.0047679553,71803.75
372,1502,pop_13_op_e2_n16_251227_102305,pop_9_op_e2_n11_251226_205529,0.006093321,309004.5
1062,1498,pop_3_op_e2_n9_251226_012408,pop_9_op_e1_n8_251226_200158,0.016081197,22522.25
55,991,pop_0_op_i1_n2_251225_141156,pop_2_op_m1_n12_251225_230458,0.0039848117,454898.25
217,1098,pop_11_op_e2_n18_251227_033505,pop_3_op_m2_n5_251226_025640,0.013541388,205373.75
764,1296,pop_18_op_m1_n0_251228_041951,pop_6_op_m1_n16_251226_113847,0.015294269,255205.75
1,311,pop_0_op_e1_n11_251225_153652,pop_12_op_m1_n14_251227_074705,0.008050142,36647.0
