i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
158,414,pop_10_op_m1_n2_250818_140658,pop_13_op_m2_n6_250819_023104,0.0001808837,0.02929002
3349,3596,pop_11_op_m1_n4_250825_193956,pop_14_op_m2_n19_250825_225118,0.013835453,0.16060999
994,3041,pop_2_op_m1_n15_250816_042619,pop_9_op_e1_n7_250821_185036,0.019060897,8.31816
2039,3305,pop_14_op_m2_n9_250821_231254,pop_11_op_e1_n18_250825_190557,0.031264164,0.63513994
2012,2623,pop_14_op_m1_n2_250821_230549,pop_3_op_m1_n19_250821_150204,0.009790311,0.21033
941,3989,pop_1_op_m2_n16_250815_222812,pop_1_op_e2_n6_250825_111844,0.03263426,1.70293
399,2181,pop_13_op_m2_n10_250819_023104,pop_16_op_m2_n16_250822_004123,0.031408038,3.63951
170,3240,pop_10_op_m2_n13_250818_151722,pop_10_op_e2_n11_250825_182734,0.058306813,10.38408
936,3261,pop_1_op_m2_n11_250815_222812,pop_10_op_m1_n12_250825_184151,0.09386808,1.8491099
437,1411,pop_14_op_e2_n0_250819_041931,pop_8_op_e1_n14_250818_041433,0.0079306085,0.34457
1782,2446,pop_11_op_m1_n13_250821_204759,pop_1_op_e2_n14_250821_134426,0.024443835,0.21576
730,4533,pop_18_op_e1_n18_250819_183853,pop_8_op_m1_n13_250825_165026,0.028010575,0.29435
1696,3419,pop_10_op_e2_n1_250821_195019,pop_12_op_m1_n14_250825_203123,0.015427443,13.40304
1839,3537,pop_12_op_e2_n12_250821_212419,pop_14_op_e1_n18_250825_220723,0.029701808,1.6938801
1045,3334,pop_3_op_e2_n10_250816_111346,pop_11_op_e2_n9_250825_192131,0.012008405,6.2573395
3652,4551,pop_15_op_m1_n17_250826_002514,pop_8_op_m2_n12_250825_170618,0.012300406,2.3197901
1300,2384,pop_6_op_m1_n19_250817_185429,pop_19_op_e2_n9_250822_034302,0.004889211,2.06142
595,841,pop_16_op_e2_n16_250819_115329,pop_19_op_m1_n11_250820_002722,0.0045334157,13.533151
2547,3902,pop_2_op_m1_n1_250821_142948,pop_19_op_e1_n9_251114_125527,0.041698456,8.15014
1481,2092,pop_9_op_e1_n0_250818_080454,pop_15_op_m1_n5_250821_235057,0.0033436585,0.35382998
2109,2325,pop_15_op_m2_n2_250821_235959,pop_18_op_m1_n7_250822_030838,0.006607419,0.058929995
1723,3369,pop_10_op_m1_n9_250821_200217,pop_11_op_m2_n5_250825_195041,0.024877978,0.023869991
363,848,pop_13_op_e2_n14_250819_003818,pop_19_op_m1_n18_250820_002722,0.0056182207,0.38942
2366,4306,pop_19_op_e1_n9_250822_032916,pop_5_op_m1_n15_250825_144407,0.03086177,6.4640703
100,3631,pop_0_op_m2_n19_250815_160637,pop_15_op_e2_n14_250826_001255,0.035592746,0.50025
204,2992,pop_11_op_e1_n9_250818_162321,pop_8_op_m1_n14_250821_183518,0.029757855,0.007490009
429,1870,pop_14_op_e1_n2_250819_032631,pop_12_op_m1_n5_250821_213956,0.021924533,7.33911
751,3823,pop_18_op_e2_n2_250819_193750,pop_18_op_e1_n1_251114_120931,0.019722974,8.22352
1623,2534,pop_0_op_i1_n7_250821_120940,pop_2_op_e2_n8_250821_141855,0.011781184,8.2363405
2060,4346,pop_15_op_e2_n10_250821_233607,pop_6_op_e1_n16_250825_150109,0.032220468,8.58619
2093,4211,pop_15_op_m1_n6_250821_235057,pop_4_op_e2_n16_250825_134525,0.0232397,0.83515
479,1055,pop_14_op_m2_n11_250819_061049,pop_3_op_e2_n2_250816_111346,0.01654939,0.84696996
428,4605,pop_14_op_e1_n1_250819_032631,pop_9_op_e2_n8_250825_173450,0.014601434,2.88954
2577,2951,pop_3_op_e1_n11_250821_144345,pop_8_op_e1_n0_250821_181016,0.026143862,0.17341003
2573,4126,pop_2_op_m2_n8_250821_143855,pop_3_op_e1_n8_250825_123957,0.08096736,0.060710013
296,3681,pop_12_op_e2_n5_250818_205553,pop_15_op_m2_n8_250826_004250,0.025493681,0.54303
2251,3988,pop_17_op_m2_n0_250822_023320,pop_1_op_e2_n5_250825_111844,0.030199563,6.77932
1233,3846,pop_5_op_m1_n9_250817_100054,pop_18_op_e2_n8_251114_122501,0.03899778,2.13631
1286,2461,pop_6_op_e2_n4_250817_171559,pop_1_op_m1_n12_250821_135054,0.012824,0.07249999
2935,3369,pop_7_op_m2_n13_250821_180122,pop_11_op_m2_n5_250825_195041,0.010740555,0.03211999
767,3172,pop_18_op_m1_n17_250819_203800,pop_0_op_i1_n6_250825_095101,0.03257616,10.45618
789,3522,pop_18_op_m2_n19_250819_213621,pop_13_op_m2_n4_250825_215652,0.059139866,0.36683
3255,4359,pop_10_op_e2_n7_250825_182734,pop_6_op_e2_n11_250825_151150,0.015008373,1.9578801
1323,1647,pop_6_op_m2_n3_250817_202921,pop_0_op_m1_n9_250821_125638,0.050397776,3.0501595
315,3810,pop_12_op_m1_n5_250818_214935,pop_17_op_m2_n4_251114_115952,0.033178695,8.31542
1449,4510,pop_8_op_m1_n14_250818_061806,pop_8_op_e1_n8_250825_162511,0.014405008,7.7131696
294,2071,pop_12_op_e2_n3_250818_205553,pop_15_op_e2_n2_250821_233607,0.005342524,1.4926301
4150,4630,pop_3_op_m1_n13_250825_130546,pop_9_op_m2_n12_250825_175959,0.027548123,8.40482
2736,3150,pop_5_op_e1_n2_250821_160044,pop_0_op_i1_n14_250825_093130,0.03683083,11.903211
