i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
158,414,pop_10_op_m1_n2_250818_140658,pop_13_op_m2_n6_250819_023104,0.15492958,0.02929002
3349,3596,pop_11_op_m1_n4_250825_193956,pop_14_op_m2_n19_250825_225118,0.6438356,0.16060999
994,3041,pop_2_op_m1_n15_250816_042619,pop_9_op_e1_n7_250821_185036,0.7848101,8.31816
2039,3305,pop_14_op_m2_n9_250821_231254,pop_11_op_e1_n18_250825_190557,0.7808219,0.63513994
2012,2623,pop_14_op_m1_n2_250821_230549,pop_3_op_m1_n19_250821_150204,0.6666667,0.21033
941,3989,pop_1_op_m2_n16_250815_222812,pop_1_op_e2_n6_250825_111844,0.76363635,1.70293
399,2181,pop_13_op_m2_n10_250819_023104,pop_16_op_m2_n16_250822_004123,0.81632656,3.63951
170,3240,pop_10_op_m2_n13_250818_151722,pop_10_op_e2_n11_250825_182734,0.81707317,10.38408
936,3261,pop_1_op_m2_n11_250815_222812,pop_10_op_m1_n12_250825_184151,0.70212764,1.8491099
437,1411,pop_14_op_e2_n0_250819_041931,pop_8_op_e1_n14_250818_041433,0.675,0.34457
1782,2446,pop_11_op_m1_n13_250821_204759,pop_1_op_e2_n14_250821_134426,0.73846155,0.21576
730,4533,pop_18_op_e1_n18_250819_183853,pop_8_op_m1_n13_250825_165026,0.85882354,0.29435
1696,3419,pop_10_op_e2_n1_250821_195019,pop_12_op_m1_n14_250825_203123,0.64705884,13.40304
1839,3537,pop_12_op_e2_n12_250821_212419,pop_14_op_e1_n18_250825_220723,0.6730769,1.6938801
1045,3334,pop_3_op_e2_n10_250816_111346,pop_11_op_e2_n9_250825_192131,0.75384617,6.2573395
3652,4551,pop_15_op_m1_n17_250826_002514,pop_8_op_m2_n12_250825_170618,0.61538464,2.3197901
1300,2384,pop_6_op_m1_n19_250817_185429,pop_19_op_e2_n9_250822_034302,0.7123288,2.06142
595,841,pop_16_op_e2_n16_250819_115329,pop_19_op_m1_n11_250820_002722,0.6516854,13.533151
2547,3902,pop_2_op_m1_n1_250821_142948,pop_19_op_e1_n9_251114_125527,0.6721311,8.15014
1481,2092,pop_9_op_e1_n0_250818_080454,pop_15_op_m1_n5_250821_235057,0.6969697,0.35382998
2109,2325,pop_15_op_m2_n2_250821_235959,pop_18_op_m1_n7_250822_030838,0.47887325,0.058929995
1723,3369,pop_10_op_m1_n9_250821_200217,pop_11_op_m2_n5_250825_195041,0.7702703,0.023869991
363,848,pop_13_op_e2_n14_250819_003818,pop_19_op_m1_n18_250820_002722,0.70873785,0.38942
2366,4306,pop_19_op_e1_n9_250822_032916,pop_5_op_m1_n15_250825_144407,0.64444447,6.4640703
100,3631,pop_0_op_m2_n19_250815_160637,pop_15_op_e2_n14_250826_001255,0.6753247,0.50025
204,2992,pop_11_op_e1_n9_250818_162321,pop_8_op_m1_n14_250821_183518,0.70212764,0.007490009
429,1870,pop_14_op_e1_n2_250819_032631,pop_12_op_m1_n5_250821_213956,0.86315787,7.33911
751,3823,pop_18_op_e2_n2_250819_193750,pop_18_op_e1_n1_251114_120931,0.82905984,8.22352
1623,2534,pop_0_op_i1_n7_250821_120940,pop_2_op_e2_n8_250821_141855,0.5777778,8.2363405
2060,4346,pop_15_op_e2_n10_250821_233607,pop_6_op_e1_n16_250825_150109,0.74626863,8.58619
2093,4211,pop_15_op_m1_n6_250821_235057,pop_4_op_e2_n16_250825_134525,0.7638889,0.83515
479,1055,pop_14_op_m2_n11_250819_061049,pop_3_op_e2_n2_250816_111346,0.75581396,0.84696996
428,4605,pop_14_op_e1_n1_250819_032631,pop_9_op_e2_n8_250825_173450,0.82222223,2.88954
2577,2951,pop_3_op_e1_n11_250821_144345,pop_8_op_e1_n0_250821_181016,0.5555556,0.17341003
2573,4126,pop_2_op_m2_n8_250821_143855,pop_3_op_e1_n8_250825_123957,0.68,0.060710013
296,3681,pop_12_op_e2_n5_250818_205553,pop_15_op_m2_n8_250826_004250,0.83908045,0.54303
2251,3988,pop_17_op_m2_n0_250822_023320,pop_1_op_e2_n5_250825_111844,0.7625,6.77932
1233,3846,pop_5_op_m1_n9_250817_100054,pop_18_op_e2_n8_251114_122501,0.7910448,2.13631
1286,2461,pop_6_op_e2_n4_250817_171559,pop_1_op_m1_n12_250821_135054,0.7714286,0.07249999
2935,3369,pop_7_op_m2_n13_250821_180122,pop_11_op_m2_n5_250825_195041,0.72839504,0.03211999
767,3172,pop_18_op_m1_n17_250819_203800,pop_0_op_i1_n6_250825_095101,0.83495146,10.45618
789,3522,pop_18_op_m2_n19_250819_213621,pop_13_op_m2_n4_250825_215652,0.8333333,0.36683
3255,4359,pop_10_op_e2_n7_250825_182734,pop_6_op_e2_n11_250825_151150,0.56666666,1.9578801
1323,1647,pop_6_op_m2_n3_250817_202921,pop_0_op_m1_n9_250821_125638,0.84615386,3.0501595
315,3810,pop_12_op_m1_n5_250818_214935,pop_17_op_m2_n4_251114_115952,0.82222223,8.31542
1449,4510,pop_8_op_m1_n14_250818_061806,pop_8_op_e1_n8_250825_162511,0.73214287,7.7131696
294,2071,pop_12_op_e2_n3_250818_205553,pop_15_op_e2_n2_250821_233607,0.72,1.4926301
4150,4630,pop_3_op_m1_n13_250825_130546,pop_9_op_m2_n12_250825_175959,0.65625,8.40482
2736,3150,pop_5_op_e1_n2_250821_160044,pop_0_op_i1_n14_250825_093130,0.72131145,11.903211
997,3617,pop_2_op_m1_n18_250816_042619,pop_15_op_e1_n1_250825_230244,0.8625,7.7149
1,3531,pop_0_op_e1_n10_250815_114538,pop_14_op_e1_n12_250825_220723,0.6862745,8.28713
600,904,pop_16_op_e2_n3_250819_115329,pop_1_op_e2_n19_250815_191206,0.7425743,0.49597996
789,1691,pop_18_op_m2_n19_250819_213621,pop_10_op_e2_n15_250821_195019,0.76344085,0.79688996
