i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
165,433,pop_10_op_m1_n17_251005_130233,pop_13_op_m2_n8_251005_194129,0.45308742,0.40027
3501,3759,pop_11_op_m2_n0_251024_025715,pop_15_op_e1_n0_251024_080734,0.35751444,0.14828998
1039,3179,pop_2_op_m1_n3_251004_230449,pop_9_op_e1_n18_251008_115314,0.70326513,0.21462989
2132,3455,pop_14_op_m2_n6_251009_013943,pop_11_op_e1_n3_251024_014855,0.48281595,1.13994
2103,2742,pop_14_op_m1_n16_251009_010748,pop_3_op_m1_n1_251008_013345,0.6688531,1.25048
984,4171,pop_1_op_m2_n6_251004_214556,pop_1_op_e2_n14_251018_185448,0.57863605,0.38874006
417,2281,pop_13_op_m2_n11_251005_194129,pop_16_op_m2_n14_251009_054828,0.7660871,0.79589
178,3387,pop_10_op_m2_n11_251005_132908,pop_10_op_e2_n12_251024_003548,0.62347585,0.84897006
978,3409,pop_1_op_m2_n19_251004_214556,pop_10_op_m1_n15_251024_010057,0.48227245,0.50909996
457,1475,pop_14_op_e2_n11_251005_203509,pop_8_op_e1_n3_251005_084436,0.32936236,0.99344003
1862,2557,pop_11_op_m1_n15_251008_175342,pop_1_op_e2_n11_251007_213131,0.28265014,0.15675998
763,4739,pop_18_op_e1_n19_251006_031442,pop_8_op_e2_n8_251023_212218,0.6972573,0.67463994
1773,3574,pop_10_op_e2_n7_251008_151704,pop_12_op_m1_n3_251024_040907,0.48445496,0.27752995
1922,3697,pop_12_op_e2_n15_251008_192557,pop_14_op_e1_n8_251024_063309,0.7528367,1.58219
1092,3485,pop_3_op_e2_n15_251005_002228,pop_11_op_m1_n13_251024_023315,0.8427663,1.41831
3818,4757,pop_15_op_m2_n11_251024_091905,pop_8_op_m1_n7_251023_214610,0.2386965,0.033230007
1359,2493,pop_6_op_m1_n6_251005_060356,pop_19_op_e2_n7_251009_105744,0.8065735,0.39625
622,879,pop_16_op_e2_n16_251006_000601,pop_19_op_m1_n1_251006_055659,0.37802008,0.62600005
2663,4079,pop_2_op_m1_n19_251007_234356,pop_19_op_e1_n19_251024_142543,0.73817813,1.43607
1549,2187,pop_9_op_e1_n17_251005_102726,pop_15_op_m1_n1_251009_031407,0.5990018,0.68102
2205,2430,pop_15_op_m2_n18_251009_034459,pop_18_op_m1_n4_251009_092244,0.65506995,1.60823
1801,3522,pop_10_op_m2_n14_251008_161733,pop_12_op_e1_n10_251024_032137,0.80225956,0.28980994
380,886,pop_13_op_e2_n13_251005_175123,pop_19_op_m1_n8_251006_055659,0.48130032,1.6210699
2473,4502,pop_19_op_e1_n7_251009_102606,pop_5_op_e2_n7_251023_163527,0.7564398,1.34787
105,3796,pop_0_op_m2_n16_251004_200931,pop_15_op_m1_n0_251024_085518,0.64843714,1.7523401
213,3127,pop_11_op_e1_n7_251005_135625,pop_8_op_e2_n6_251008_102531,0.61888474,0.46761
449,1954,pop_14_op_e1_n4_251005_200841,pop_12_op_m1_n8_251008_195611,0.71009016,0.0
785,3996,pop_18_op_e2_n4_251006_034151,pop_18_op_e1_n14_251024_125241,0.5985286,0.42415
1697,2649,pop_0_op_m1_n10_251007_201332,pop_2_op_e2_n5_251007_231500,0.47752663,0.15675998
2154,4543,pop_15_op_e1_n8_251009_021028,pop_5_op_m2_n8_251023_172151,0.57015395,0.40379
2188,4402,pop_15_op_m1_n2_251009_031407,pop_4_op_e1_n6_251022_222736,0.61886394,1.6602199
501,1103,pop_14_op_m2_n15_251005_212934,pop_3_op_e2_n7_251005_002228,0.78817964,1.3401799
447,4815,pop_14_op_e1_n2_251005_200841,pop_9_op_e2_n6_251023_225835,0.63264334,0.6485399
2694,3085,pop_3_op_e1_n11_251008_004029,pop_7_op_m2_n4_251008_092925,0.8005669,1.25048
2689,4313,pop_2_op_m2_n7_251008_001242,pop_3_op_e1_n16_251021_090929,0.77823234,0.59928
310,3849,pop_12_op_e2_n4_251005_160612,pop_16_op_e1_n3_251024_094316,0.6293319,1.2674501
2353,4169,pop_17_op_m1_n7_251009_071749,pop_1_op_e2_n12_251018_185448,0.8229735,0.34078002
1289,4020,pop_5_op_m2_n14_251005_044551,pop_18_op_e2_n1_251024_131504,0.7540605,0.33710992
1344,2573,pop_6_op_m1_n10_251005_060356,pop_1_op_e2_n8_251007_213131,0.77205724,1.26591
3068,3522,pop_7_op_m1_n7_251008_085951,pop_12_op_e1_n10_251024_032137,0.8373208,0.61076
802,3316,pop_18_op_m1_n2_251006_040930,pop_0_op_i1_n5_251016_142943,0.7436253,1.29516
825,3682,pop_18_op_m2_n5_251006_043605,pop_14_op_e1_n11_251024_063309,0.70080996,0.54565
3403,4557,pop_10_op_m1_n0_251024_010057,pop_6_op_e1_n2_251023_174530,0.5841771,1.0601699
1383,1722,pop_7_op_e1_n0_251005_065816,pop_0_op_m2_n15_251007_204021,0.82353824,0.27813995
329,3983,pop_12_op_m1_n3_251005_163256,pop_17_op_m2_n2_251024_122850,0.61837196,0.35677004
1514,4715,pop_8_op_m1_n2_251005_093415,pop_8_op_e1_n4_251023_205917,0.6308057,1.26595
308,2165,pop_12_op_e2_n2_251005_160612,pop_15_op_e2_n18_251009_024009,0.6599245,0.0
4338,4840,pop_3_op_e2_n2_251021_192212,pop_9_op_m2_n11_251023_234634,0.38459986,1.24741
2860,3293,pop_5_op_e1_n18_251008_041943,pop_0_op_i1_n11_251016_142943,0.8177445,0.32989
